date,open,high,low,close,volume
1656374400000,0.4855,0.4975,0.4671,0.4694,163559982.8
1656460800000,0.4693,0.4772,0.4588,0.4662,166130162.2
1656547200000,0.4662,0.4677,0.4352,0.4599,212174584.9
1656633600000,0.4599,0.475,0.4427,0.4487,182788187.1
1656720000000,0.4487,0.4617,0.4408,0.4559,109165380.7
1656806400000,0.4558,0.46,0.4436,0.4561,90832805.9
1656892800000,0.456,0.4765,0.4445,0.4695,196991430.2
1656979200000,0.4695,0.4717,0.4447,0.4571,171538047.7
1657065600000,0.4571,0.4656,0.447,0.4623,139221841
1657152000000,0.4623,0.4827,0.4609,0.4776,142206515.1
1657238400000,0.4775,0.493,0.46,0.4661,170807637.3
1657324800000,0.4661,0.4849,0.4653,0.478,100774030.7
1657411200000,0.4781,0.4798,0.4552,0.4624,115262368.1
1657497600000,0.4625,0.4628,0.4316,0.4347,162045832.1
1657584000000,0.4347,0.4425,0.4156,0.4171,139595801.6
1657670400000,0.4171,0.4422,0.4023,0.4383,265120837.4
1657756800000,0.4383,0.4465,0.417,0.4416,208166850.3
1657843200000,0.4417,0.4536,0.4326,0.4421,187707381.7
1657929600000,0.4421,0.4591,0.4316,0.4578,147996093
1658016000000,0.4578,0.466,0.4421,0.4478,153582187.8
1658102400000,0.4478,0.4998,0.4457,0.4904,383712607.4
1658188800000,0.4904,0.526,0.4733,0.5152,386358308.6
1658275200000,0.5152,0.5487,0.4868,0.491,389779718.7
1658361600000,0.491,0.5023,0.4756,0.4993,261898181.1
1658448000000,0.4994,0.5114,0.477,0.4828,200329666.4
1658534400000,0.4827,0.5186,0.473,0.517,199660186.4
1658620800000,0.5171,0.5368,0.5095,0.512,233306136.5
1658707200000,0.512,0.5154,0.4741,0.4752,200850290.9
1658793600000,0.4752,0.4774,0.451,0.4677,213068947.5
1658880000000,0.4678,0.5122,0.4588,0.5111,290166822
1658966400000,0.5112,0.5242,0.4885,0.513,306444781.5
1659052800000,0.5131,0.5454,0.5064,0.5218,320668702.7
1659139200000,0.5219,0.556,0.509,0.5263,271896568.2
1659225600000,0.5263,0.5443,0.5125,0.5161,174783511.5
1659312000000,0.5161,0.5262,0.5007,0.5124,158798003.7
1659398400000,0.5125,0.5155,0.4886,0.4963,182796003.4
1659484800000,0.4963,0.5167,0.489,0.5005,124963960.7
1659571200000,0.5006,0.5112,0.4934,0.4997,102892954.2
1659657600000,0.4998,0.5193,0.4993,0.5174,112189883.6
1659744000000,0.5174,0.5234,0.51,0.5112,78090180.3
1659830400000,0.5114,0.5385,0.5063,0.5276,111026235.8
1659916800000,0.5276,0.5496,0.523,0.5371,161524833.4
1660003200000,0.5371,0.5374,0.5057,0.5129,143030490.2
1660089600000,0.5128,0.5389,0.502,0.5374,168972340.2
1660176000000,0.5374,0.5476,0.5286,0.5303,155468308.4
1660262400000,0.5302,0.542,0.5205,0.5402,106913181.8
1660348800000,0.5403,0.5677,0.5378,0.5593,193063122.5
1660435200000,0.5592,0.5948,0.5567,0.5695,236011611.2
1660521600000,0.5695,0.5824,0.5427,0.5499,190761668.9
1660608000000,0.5499,0.5704,0.5475,0.557,146450653.2
1660694400000,0.5569,0.5834,0.5304,0.5384,234245028
1660780800000,0.5384,0.5441,0.5075,0.5119,132313932.3
1660867200000,0.5119,0.5121,0.4461,0.45,328230521.1
1660953600000,0.4499,0.4632,0.4347,0.4508,211122393.3
1661040000000,0.4508,0.4726,0.4468,0.4626,169047210.7
1661126400000,0.4627,0.4632,0.4374,0.4615,189193918.6
1661212800000,0.4614,0.47,0.4457,0.4658,124261125.9
1661299200000,0.4659,0.4691,0.4536,0.4578,103361101.6
1661385600000,0.4578,0.4741,0.4574,0.4645,119929958
1661472000000,0.4645,0.482,0.4257,0.4316,375988353.5
1661558400000,0.4315,0.4514,0.4258,0.4499,188501508.5
1661644800000,0.4498,0.4544,0.4274,0.4293,131217761.8
1661731200000,0.4293,0.453,0.4236,0.4504,144932469
1661817600000,0.4503,0.4628,0.4385,0.4531,153120426.8
1661904000000,0.4531,0.4631,0.4446,0.4462,115611898.1
1661990400000,0.4461,0.4624,0.4407,0.4575,126696718
1662076800000,0.4575,0.4665,0.4487,0.4543,106798749.5
1662163200000,0.4544,0.486,0.4535,0.4803,182225091.7
